Texto breve de material;Lote;Libre utilización;Valor libre util.;Restantes; Precio Unitario ;;;
7025574 - OBSEQ CAMA 1.40 AURORA LINO GRIS;4872636;1; $ 559.550 ;1; $ 559.550,00 ;;;
7031847 - OBSEQ CAMA 1.40 AURORA MICROF GRIS SIN T;770089235;1; $ 500.050 ;1; $ 500.050,00 ;;;
7025575 - OBSEQ CAMA 1.60 AURORA LINO GRIS;4344720;1; $ 639.786 ;1; $ 639.786,00 ;;;
7024204 - OBSEQ CAMA 1.60 AURORA MICRO GRIS PLOM B;3889091;1; $ 519.050 ;1; $ 519.050,00 ;;;
7035666 - OBSEQ CAMA FERRARA KING GRIS SOM+CAB;770097949;1; $ 826.000 ;1; $ 826.000,00 ;;;
7023650 - OBSEQ CAMA FULL BERNARD BEIGE SOM+CABEC;1068935;1; $ 577.900 ;1; $ 577.900,00 ;;;
7023650 - OBSEQ CAMA FULL BERNARD BEIGE SOM+CABEC;1081925;1; $ 577.900 ;1; $ 577.900,00 ;;;
7023650 - OBSEQ CAMA FULL BERNARD BEIGE SOM+CABEC;1106642;1; $ 577.900 ;1; $ 577.900,00 ;;;
7023650 - OBSEQ CAMA FULL BERNARD BEIGE SOM+CABEC;1372379;1; $ 577.900 ;1; $ 577.900,00 ;;;
7023650 - OBSEQ CAMA FULL BERNARD BEIGE SOM+CABEC;1;1; $ 577.900 ;1; $ 577.900,00 ;;;
7023650 - OBSEQ CAMA FULL BERNARD BEIGE SOM+CABEC;4730120;1; $ 577.900 ;1; $ 577.900,00 ;;;
7023650 - OBSEQ CAMA FULL BERNARD BEIGE SOM+CABEC;4787520;1; $ 577.900 ;1; $ 577.900,00 ;;;
7023650 - OBSEQ CAMA FULL BERNARD BEIGE SOM+CABEC;4876861;1; $ 577.900 ;1; $ 577.900,00 ;;;
7023650 - OBSEQ CAMA FULL BERNARD BEIGE SOM+CABEC;770099710;3; $ 1.733.699 ;3; $ 577.899,67 ;;;
7023650 - OBSEQ CAMA FULL BERNARD BEIGE SOM+CABEC;770101296;5; $ 2.889.499 ;5; $ 577.899,80 ;;;
7035805 - OBSEQ CAMA FULL FERRARA GRIS CAB+SOM DIV;4971787;1; $ 689.900 ;1; $ 689.900,00 ;;;
7035805 - OBSEQ CAMA FULL FERRARA GRIS CAB+SOM DIV;770097219;2; $ 1.379.800 ;2; $ 689.900,00 ;;;
7035805 - OBSEQ CAMA FULL FERRARA GRIS CAB+SOM DIV;770097256;6; $ 4.139.400 ;6; $ 689.900,00 ;;;
7035805 - OBSEQ CAMA FULL FERRARA GRIS CAB+SOM DIV;770098600;1; $ 689.900 ;1; $ 689.900,00 ;;;
7023648 - OBSEQ CAMA FULL SALVADOR GRIS SOM+CABEC;4929483;1; $ 595.235 ;1; $ 595.235,00 ;;;
7023648 - OBSEQ CAMA FULL SALVADOR GRIS SOM+CABEC;770089234;1; $ 595.235 ;1; $ 595.235,00 ;;;
7026268 - OBSEQ SOM + CAB SALVADOR KING MICR GRIS;770089379;1; $ 867.830 ;1; $ 867.830,00 ;;;
7026268 - OBSEQ SOM + CAB SALVADOR KING MICR GRIS;770089233;2; $ 1.735.660 ;2; $ 867.830,00 ;;;
7026267 - OBSEQ SOM + CAB SALVADOR QUEEN MICR GRIS;4241223;1; $ 816.750 ;1; $ 816.750,00 ;;;
7026267 - OBSEQ SOM + CAB SALVADOR QUEEN MICR GRIS;770089233;5; $ 4.083.750 ;5; $ 816.750,00 ;;;
7026267 - OBSEQ SOM + CAB SALVADOR QUEEN MICR GRIS;770086972;1; $ 816.750 ;1; $ 816.750,00 ;;;
7026266 - OBSEQ SOM + CAB SALVADOR TWIN MICR GRIS;770086972;6; $ 3.391.500 ;6; $ 565.250,00 ;;;
7029487 - OBSEQ SOM+CAB SALVADOR FULL MICR BEIGE;1131140;1; $ 587.237 ;1; $ 587.237,00 ;;;
7029487 - OBSEQ SOM+CAB SALVADOR FULL MICR BEIGE;3906570;1; $ 587.237 ;1; $ 587.237,00 ;;;
7029489 - OBSEQ SOM+CAB SALVADOR KING MICR BEIGE;770085389;1; $ 867.830 ;1; $ 867.830,00 ;;;
7029391 - OBSEQ SOM+CAB SALVADOR KING MICR GRIS B;770087583;3; $ 2.603.490 ;3; $ 867.830,00 ;;;
7029390 - OBSEQ SOM+CAB SALVADOR QUEEN MICR GRIS B;770085954;1; $ 816.750 ;1; $ 816.750,00 ;;;
7029390 - OBSEQ SOM+CAB SALVADOR QUEEN MICR GRIS B;770088350;1; $ 816.750 ;1; $ 816.750,00 ;;;
7029390 - OBSEQ SOM+CAB SALVADOR QUEEN MICR GRIS B;770088689;1; $ 816.750 ;1; $ 816.750,00 ;;;
7029486 - OBSEQ SOM+CAB SALVADOR TWIN MICR BEIGE;4838440;1; $ 565.250 ;1; $ 565.250,00 ;;;
7029486 - OBSEQ SOM+CAB SALVADOR TWIN MICR BEIGE;770091606;3; $ 1.695.750 ;3; $ 565.250,00 ;;;
7029388 - OBSEQ SOM+CAB SALVADOR TWIN MICR GRIS B;770090038;4; $ 2.261.000 ;4; $ 565.250,00 ;;;
7029388 - OBSEQ SOM+CAB SALVADOR TWIN MICR GRIS B;770090465;2; $ 1.130.500 ;2; $ 565.250,00 ;;;
7029388 - OBSEQ SOM+CAB SALVADOR TWIN MICR GRIS B;770091066;1; $ 565.250 ;1; $ 565.250,00 ;;;
7029388 - OBSEQ SOM+CAB SALVADOR TWIN MICR GRIS B;770093051;1; $ 565.250 ;1; $ 565.250,00 ;;;
7026274 - OBSEQ SOMIER + CAB BERNARD KING MICR BEI;770088175;1; $ 826.000 ;1; $ 826.000,00 ;;;
7026273 - OBSEQ SOMIER + CAB BERNARD QUEEN MIC BEI;4917299;1; $ 792.999 ;1; $ 792.999,00 ;;;
7026273 - OBSEQ SOMIER + CAB BERNARD QUEEN MIC BEI;770095463;1; $ 792.999 ;1; $ 792.999,00 ;;;
7026272 - OBSEQ SOMIER + CAB BERNARD TWIN MICR BEI;4912288;1; $ 551.000 ;1; $ 551.000,00 ;;;
7026272 - OBSEQ SOMIER + CAB BERNARD TWIN MICR BEI;770090033;1; $ 551.000 ;1; $ 551.000,00 ;;;
7026272 - OBSEQ SOMIER + CAB BERNARD TWIN MICR BEI;770090037;5; $ 2.755.000 ;5; $ 551.000,00 ;;;
7029318 - OBSEQ SOMIER+CAB BERNARD FULL MIC BEI B;4391580;1; $ 577.900 ;1; $ 577.900,00 ;;;
7029483 - OBSEQ SOMIER+CAB BERNARD FULL MICRO GRIS;1093845;1; $ 577.900 ;1; $ 577.900,00 ;;;
7029483 - OBSEQ SOMIER+CAB BERNARD FULL MICRO GRIS;770091451;2; $ 1.155.800 ;2; $ 577.900,00 ;;;
7029485 - OBSEQ SOMIER+CAB BERNARD KING MICRO GRIS;770085485;1; $ 826.000 ;1; $ 826.000,00 ;;;
7029484 - OBSEQ SOMIER+CAB BERNARD QUEEN MIC GRIS;770090002;1; $ 793.000 ;1; $ 793.000,00 ;;;
7036560 - OBSEQ CAMA KING FERRARA BEIGE SOM+CAB B;770094892;1; $ 826.000 ;1; $ 826.000,00 ;;;
7029516 - OBSEQUIO 45X65 DUO ALMOHADA AIRLIFE;1;1; $ 2.936 ;1; $ 2.936,00 ;;;
7019590 - OBSEQUIO CAMA 140 AMBER MICROFIB PLATA B;770061266;1; $ 289.901 ;1; $ 289.901,00 ;;;
7005068 - OBSEQUIO COLCHON ULTRAFLEX 100X190X15;1;1; $ 11.539 ;1; $ 11.539,00 ;;;
7005068 - OBSEQUIO COLCHON ULTRAFLEX 100X190X15;4198379;1; $ 11.539 ;1; $ 11.539,00 ;;;
7010358 - OBSEQUIO COMODA 56X68X38 ALI CAPUCCINO;1;1; $ 76.216 ;1; $ 76.216,00 ;;;
7010358 - OBSEQUIO COMODA 56X68X38 ALI CAPUCCINO;780001930;10; $ 762.164 ;10; $ 76.216,40 ;;;
;;;;;;;;
7028973 - OBSEQUIO SALA MESA DE CENTRO IKER NEGRO;780003024;1; $ 28.753 ;1; $ 28.753,00 ;;;
;;;;;;;;
7032170 - PANEL TV BAXTER LED 183X212 NAT;4921173;1; $ 890.560 ;1; $ 890.560,00 ;;;
7002148 - PROD LIMPIEZA AMWAY SHAMP/QUITAMANCHA;1;1; $ 42.930 ;1; $ 42.930,00 ;;;
J094917 - PROTECTOR 1.00 TERRY;1;1; $ 34.500 ;1; $ 34.500,00 ;;;
7034032 - PUFF 120X34X45CM BEIGE F241;780003560;1; $ 565.802 ;1; $ 565.802,00 ;;;
7038864 - PUFF BAUL FILIP CHENILLE CARDIFF NAVY;1;30; $ 4.222.650 ;30; $ 140.755,00 ;;;
7038865 - PUFF BAUL FILIP CHENILLE CARDIFF TAUPE;1;24; $ 3.378.120 ;24; $ 140.755,00 ;;;
7038867 - PUFF BAUL FILIP CHENILLE CARDIFF ZAFIRO;1;26; $ 3.659.630 ;26; $ 140.755,00 ;;;
7038868 - PUFF BAUL FILIP VELVET CHOCOLATE;1;16; $ 2.252.080 ;15; $ 140.755,00 ;;;
7033071 - PUFF LUGO LINO VERONA VERDE/NATURAL;4968489;1; $ 204.660 ;1; $ 204.660,00 ;;;
7033071 - PUFF LUGO LINO VERONA VERDE/NATURAL;4969869;1; $ 204.660 ;1; $ 204.660,00 ;;;
7033071 - PUFF LUGO LINO VERONA VERDE/NATURAL;770097367;2; $ 409.321 ;2; $ 204.660,50 ;;;
7033071 - PUFF LUGO LINO VERONA VERDE/NATURAL;770097952;4; $ 818.642 ;4; $ 204.660,50 ;;;
7033071 - PUFF LUGO LINO VERONA VERDE/NATURAL;770099213;1; $ 204.660 ;1; $ 204.660,00 ;;;
7032007 - REPISA AMINTA 90X30X20 NATURAL SETX2;780003367;7; $ 606.735 ;7; $ 86.676,43 ;;;
7032006 - REPISA AMINTA 90X30X20 ROSA SETX2;780003367;26; $ 2.161.140 ;26; $ 83.120,77 ;;;
7032079 - REPISA COX 30X28X19 NATURAL/NEGRO;780003277;13; $ 376.899 ;13; $ 28.992,23 ;;;
7032079 - REPISA COX 30X28X19 NATURAL/NEGRO;780003380;39; $ 1.130.698 ;39; $ 28.992,26 ;;;
7031969 - REPISA DOM 80X80X30 BLANCO;780003239;1; $ 169.842 ;1; $ 169.842,00 ;;;
7031969 - REPISA DOM 80X80X30 BLANCO;780003370;2; $ 339.684 ;2; $ 169.842,00 ;;;
7031969 - REPISA DOM 80X80X30 BLANCO;780003524;30; $ 5.095.258 ;30; $ 169.841,93 ;;;
7032114 - REPISA LILO 90X34X23 NAT;780003276;1; $ 75.369 ;1; $ 75.369,00 ;;;
7032114 - REPISA LILO 90X34X23 NAT;780003374;1; $ 75.369 ;1; $ 75.369,00 ;;;
7032114 - REPISA LILO 90X34X23 NAT;780003542;7; $ 527.586 ;7; $ 75.369,43 ;;;
7032010 - REPISA TED 93X22X15 NATURAL SETX2;780003367;17; $ 1.450.618 ;17; $ 85.330,47 ;;;
7032011 - REPISA TED 93X22X15 OFF WHITE SETX2;780003243;2; $ 166.665 ;2; $ 83.332,50 ;;;
7032011 - REPISA TED 93X22X15 OFF WHITE SETX2;780003367;26; $ 2.166.648 ;26; $ 83.332,62 ;;;
7032009 - REPISA TED 93X22X15 ROSA SETX2;780003367;29; $ 2.429.309 ;29; $ 83.769,28 ;;;
7032181 - REPISA TED 94X22X15 GRIS SETX2;780003243;14; $ 1.168.765 ;14; $ 83.483,21 ;;;
7032181 - REPISA TED 94X22X15 GRIS SETX2;780003367;40; $ 3.339.330 ;40; $ 83.483,25 ;;;
7031729 - REPISAS NIKO NATURAL/OFFWHITE SETX3;780003275;14; $ 3.551.317 ;14; $ 253.665,50 ;;;
7032065 - REPISAS NIKO OFF WHITE SETX3;780003268;1; $ 246.010 ;1; $ 246.010,00 ;;;
7032065 - REPISAS NIKO OFF WHITE SETX3;780003276;14; $ 3.444.144 ;14; $ 246.010,29 ;;;
7032065 - REPISAS NIKO OFF WHITE SETX3;780003379;4; $ 984.041 ;4; $ 246.010,25 ;;;
7038384 - SALA FUNCIONAL ANDORA GAIRA PLATA/PLATEA;1526367;1; $ 1.042.412 ;1; $ 1.042.412,00 ;;;
7027204 - SALA MOD ADAM VELVET ITALIA TAUPE/CHAMP;3431910;1; $ 849.580 ;1; $ 849.580,00 ;;;
7020149 - SALA MODULAR LUGO EUROLINO MARFIL/CORAL;1286449;1; $ 1.014.812 ;1; $ 1.014.812,00 ;;;
7023160 - SALA MODULAR MILAN NATURAL AZUL ACERO;770089063;1; $ 1.399.799 ;1; $ 1.399.799,00 ;;;
7024984 - SALA MODULAR NALA NHILO BEIGE GIRAT;2929050;1; $ 1.550.000 ;1; $ 1.550.000,00 ;;;
7031800 - SALA MODULAR OSLO LINO KLAP GRIS/NATURAL;4890105;1; $ 853.782 ;1; $ 853.782,00 ;;;
7031800 - SALA MODULAR OSLO LINO KLAP GRIS/NATURAL;770093327;3; $ 2.561.346 ;3; $ 853.782,00 ;;;
7030358 - SALA RINCON VICTORIA VT LUXURY SAND/CHAM;770094243;1; $ 1.623.693 ;0; $ 1.623.693,00 ;;;
7035279 - SALA RINCONERA CARLA ICONO GRIS/NAT LDER;770098189;1; $ 992.052 ;1; $ 992.052,00 ;;;
7035279 - SALA RINCONERA CARLA ICONO GRIS/NAT LDER;770098265;2; $ 1.984.105 ;2; $ 992.052,50 ;;;
7033083 - SALA RINCONERA TIMOTEO GRIS;780003293;1; $ 2.866.978 ;1; $ 2.866.978,00 ;;;
7029100 - SILLA COMEDOR AGNES EUROLINO PERLA/CHA;770096080;2; $ 418.114 ;2; $ 209.057,00 ;;;
7032279 - SILLA DE OFICINA 104X61X63 ARIA NEGRA;770094903;1; $ 361.736 ;1; $ 361.736,00 ;;;
7032188 - SILLA EXTERIOR 58X59X81 AGATA VERDE;780003248;12; $ 2.176.986 ;12; $ 181.415,50 ;;;
7003126 - SILLA RECLINABLE SENSACION EUROCUE NEGRO;770105302;6; $ 3.731.838 ;6; $ 621.973,00 ;;;
7033211 - SOFA 1 PUESTO GRECIA LINO GRIS;780003311;1; $ 511.774 ;1; $ 511.774,00 ;;;
7037312 - SOFA 2P DENISE ATLAS MARMOL/BEIGE CHAMP;770096664;1; $ 1.190.000 ;1; $ 1.190.000,00 ;;;
7035457 - SOFA 2PT OLIVER ICONO ALMENDRA;770094031;1; $ 571.028 ;1; $ 571.028,00 ;;;
7030855 - SOFA 2PT VICTORIA VET LUXURY SAND/CHAM;770095601;1; $ 976.741 ;1; $ 976.741,00 ;;;
7036439 - SOFA 2PTO ATENAS MICROF PLOMO/NAT;770095749;1; $ 690.000 ;1; $ 690.000,00 ;;;
7034482 - SOFA 2PTO SEVILLA VELVET ZAREM IVORY/CHA;770096184;1; $ 1.075.628 ;1; $ 1.075.628,00 ;;;
7038422 - SOFA 2PTOS MILU EUROLINO BLANCO PURO/CHA;770097479;1; $ 810.927 ;1; $ 810.927,00 ;;;
7034549 - SOFA 2PTOS TEBAS VELV VERDI BEIGE NAT;1318047;1; $ 773.109 ;1; $ 773.109,00 ;;;
7025617 - SOFA 3PT LINE VELV AZAFRAN CRUDO/CHA 180;770091839;1; $ 918.686 ;1; $ 918.686,00 ;;;
7025617 - SOFA 3PT LINE VELV AZAFRAN CRUDO/CHA 180;770092698;1; $ 918.686 ;1; $ 918.686,00 ;;;
7032390 - SOFA 3PTO ASTRO MICROF KAZAN PLOMO/NT;770098055;2; $ 2.462.173 ;2; $ 1.231.086,50 ;;;
7031457 - SOFA 3PTOS DANTE SANTORINI 1650/ CHAMP;770095598;1; $ 1.284.839 ;1; $ 1.284.839,00 ;;;
7036551 - SOFA 3PTOS DHARA LINO VERONA BEIGE/NAT;770095191;1; $ 1.175.630 ;1; $ 1.175.630,00 ;;;
7034548 - SOFA 3PTOS TEBAS VELV VERDI BEIGE NAT;770093260;1; $ 815.126 ;1; $ 815.126,00 ;;;
7036553 - SOFA 3PTOS VICTORIA LINO VERONA BEI/NAT;770095191;1; $ 1.079.831 ;1; $ 1.079.831,00 ;;;
7034664 - SOFA CAMA ALBI VELVET CASSINI CREMA/NAT;770095080;1; $ 782.234 ;1; $ 782.234,00 ;;;
7038719 - SOFA CAMA DHARA VEL SIENA MAR/ARE 145CM;770098153;1; $ 1.410.924 ;1; $ 1.410.924,00 ;;;
7031134 - SOFA CAMA FULL LOGAN MICROFIBRA GRIS OSC;780003425;29; $ 24.167.685 ;29; $ 833.368,45 ;;;
7030032 - SOFA RECL 3P STAR VELV ATLAS MARMOL ELEC;770097935;1; $ 2.095.532 ;1; $ 2.095.532,00 ;;;
7032273 - SOFACAMA AXXIS EUROLINO VITORE TAUPE/NT;770095598;1; $ 591.634 ;1; $ 591.634,00 ;;;
7034413 - SOFACAMA CELTA LINO HAUS GRIS PLOMO 2PTO;770094180;1; $ 1.029.411 ;1; $ 1.029.411,00 ;;;
7027949 - SOMIER NAPOLI TWIN 120X190X20 NEGRO;1;5; $ 990.000 ;5; $ 198.000,00 ;;;
7023529 - TOCADOR DAYTONA CHAMPAÑA/CATEDRAL OTOÑO;770095516;1; $ 281.864 ;1; $ 281.864,00 ;;;
7023529 - TOCADOR DAYTONA CHAMPAÑA/CATEDRAL OTOÑO;770097311;1; $ 281.864 ;1; $ 281.864,00 ;;;
7033666 - TOCADOR FILADELFIA NATURAL;770093908;1; $ 176.471 ;1; $ 176.471,00 ;;;
7016396 - TOCADOR MILAN BLANCO/GRIS 02;4042920;1; $ 452.144 ;1; $ 452.144,00 ;;;
7024555 - TOCADOR MONTREAL CHAMP MARCO ESPEJO;1199956;1; $ 774.795 ;1; $ 774.795,00 ;;;
7024555 - TOCADOR MONTREAL CHAMP MARCO ESPEJO;1316144;1; $ 774.795 ;1; $ 774.795,00 ;;;
7024555 - TOCADOR MONTREAL CHAMP MARCO ESPEJO;4881720;1; $ 774.795 ;1; $ 774.795,00 ;;;
7024555 - TOCADOR MONTREAL CHAMP MARCO ESPEJO;4885335;1; $ 774.795 ;1; $ 774.795,00 ;;;
7024555 - TOCADOR MONTREAL CHAMP MARCO ESPEJO;4963219;1; $ 774.795 ;1; $ 774.795,00 ;;;
7024555 - TOCADOR MONTREAL CHAMP MARCO ESPEJO;770092533;6; $ 4.648.771 ;6; $ 774.795,17 ;;;
7024555 - TOCADOR MONTREAL CHAMP MARCO ESPEJO;770093090;6; $ 4.648.771 ;6; $ 774.795,17 ;;;
7024555 - TOCADOR MONTREAL CHAMP MARCO ESPEJO;770093380;1; $ 774.795 ;1; $ 774.795,00 ;;;
7024555 - TOCADOR MONTREAL CHAMP MARCO ESPEJO;770096304;1; $ 774.795 ;1; $ 774.795,00 ;;;
7024555 - TOCADOR MONTREAL CHAMP MARCO ESPEJO;770096511;1; $ 774.795 ;1; $ 774.795,00 ;;;
7036692 - TOCADOR NEPAL GRIS HIELO;770095849;1; $ 308.780 ;1; $ 308.780,00 ;;;
7010280 - TOCADOR PRESTON PLATA/ESPEJO;2840267;1; $ 272.922 ;1; $ 272.922,00 ;;;
7010280 - TOCADOR PRESTON PLATA/ESPEJO;770078842;1; $ 272.922 ;1; $ 272.922,00 ;;;
7020605 - TOCADOR ROMANTIC GRIS/BLANCO B;770080987;1; $ 686.223 ;1; $ 686.223,00 ;;;
7033195 - TOCADOR SEVILLA GRIS HIELO;770094777;1; $ 332.667 ;1; $ 332.667,00 ;;;
7035454 - TOCADOR TEXAS NATURAL;770097388;1; $ 194.117 ;1; $ 194.117,00 ;;;
J001481 - VIDRIO 4 PTOS 1.00X1.00 LISO 6MM BRONCE;1;1; $ 87.248 ;1; $ 87.248,00 ;;;
J002137 - VIDRIO 4 PTOS 1.10X1.10 LISO 10MM CLARO;1;1; $ 131.198 ;1; $ 131.198,00 ;;;
7002768 - VIDRIO 4PT 1.07X1.07 LISO 10MM BRONCE;1;1; $ 124.390 ;1; $ 124.390,00 ;;;
7005163 - VIDRIO 4PT 90X1.10 LISO 8 MM BLANCO PR;1;1; $ 132.358 ;1; $ 132.358,00 ;;;
7017240 - VIDRIO 4PTO 1.10 NEGRO CIRCULAR;1;12; $ 1.361.340 ;12; $ 113.445,00 ;;;
7017226 - VIDRIO 4PTO 1.10 TAUPE CIRCULAR;1;13; $ 1.636.173 ;13; $ 125.859,46 ;;;
7017398 - VIDRIO 4PTOS IAN 90X110 BLANCO OVALADO;1;7; $ 707.472 ;7; $ 101.067,43 ;;;
J002167 - VIDRIO 6 PTOS LISO 10MM CLARO PUNT.RECTA;1400166;1; $ 120.616 ;1; $ 120.616,00 ;;;
J002167 - VIDRIO 6 PTOS LISO 10MM CLARO PUNT.RECTA;4;1; $ 120.616 ;1; $ 120.616,00 ;;;
J004653 - VIDRIO 6 PTOS LISO 10MM CLARO PUNT.REDON;1;2; $ 359.104 ;2; $ 179.552,00 ;;;
J004653 - VIDRIO 6 PTOS LISO 10MM CLARO PUNT.REDON;4868900;1; $ 179.552 ;1; $ 179.552,00 ;;;
7015776 - VIDRIO 6P 1.10X1.60X1.0 PREMIUM TRANSPAR;1;1; $ 187.155 ;1; $ 187.155,00 ;;;
7023274 - VIDRIO 6P 1.60X1.10X10MM MÁRMOL PREMIUM;1;140; $ 61.182.030 ;140; $ 437.014,50 ;;;
7023274 - VIDRIO 6P 1.60X1.10X10MM MÁRMOL PREMIUM;3737610;1; $ 437.014 ;1; $ 437.014,00 ;;;
7023274 - VIDRIO 6P 1.60X1.10X10MM MÁRMOL PREMIUM;4963422;1; $ 437.014 ;1; $ 437.014,00 ;;;
7015775 - VIDRIO 6P 90X1.50X1.0 PREMIUM TRANSPAREN;1;8; $ 1.298.142 ;8; $ 162.267,75 ;;;
7017399 - VIDRIO 6PT IAN 90X150 BLANCO OVALADO;1;3; $ 752.402 ;3; $ 250.800,67 ;;;
7017399 - VIDRIO 6PT IAN 90X150 BLANCO OVALADO;3143771;1; $ 250.801 ;1; $ 250.801,00 ;;;
7015774 - VIDRIO 6PTO 1.10X1.60X1.0 PREMIUM BLANCO;1;9; $ 2.313.136 ;9; $ 257.015,11 ;;;
7023397 - VIDRIO 6PTOS 1.60X1.10X10MM MÁRMOL BEIGE;1;18; $ 7.856.361 ;18; $ 436.464,50 ;;;
7023397 - VIDRIO 6PTOS 1.60X1.10X10MM MÁRMOL BEIGE;4960166;1; $ 436.465 ;1; $ 436.465,00 ;;;
7015773 - VIDRIO 6PTOS 90X1.50X1.0 PREMIUM BLANCO;1;1; $ 244.696 ;1; $ 244.696,00 ;;;
7013243 - VIDRIO 8PTOS INFINITY 110X200 LISO TEMPL;1;15; $ 9.023.032 ;15; $ 601.535,47 ;;;
7028854 - VITRINA HANNAH 180X80 GRIS/NATURAL;780003306;4; $ 1.904.938 ;4; $ 476.234,50 ;;;
7032108 - VITRINA INES 48X183X41 NATURAL/OFFWHITE;780003462;3; $ 1.734.828 ;3; $ 578.276,00 ;;;
7032108 - VITRINA INES 48X183X41 NATURAL/OFFWHITE;780003526;14; $ 8.095.864 ;14; $ 578.276,00 ;;;
