Texto breve de material;Lote;Libre utilización;Valor libre util.;Restantes; Precio Unitario ;;;
7032134 - BIBLIOTECA CALA 45X160X45 BLANCA;780003238;2; $ 675.102 ;2; $ 337.551,00 ;;;
7032132 - BIBLIOTECA CALA 45X160X45 NATURAL;780003542;20; $ 6.788.429 ;20; $ 339.421,45 ;;;
7032133 - BIBLIOTECA CALA 45X160X45 NEGRA;780003276;1; $ 338.487 ;1; $ 338.487,00 ;;;
7032133 - BIBLIOTECA CALA 45X160X45 NEGRA;780003373;20; $ 6.769.744 ;20; $ 338.487,20 ;;;
7032133 - BIBLIOTECA CALA 45X160X45 NEGRA;780003542;20; $ 6.769.744 ;20; $ 338.487,20 ;;;
7032133 - BIBLIOTECA CALA 45X160X45 NEGRA;780003238;1; $ 338.487 ;1; $ 338.487,00 ;;;
7032100 - BIBLIOTECA SANTORINI 90X180X36 NAT/TEJID;780003542;30; $ 20.566.501 ;30; $ 685.550,03 ;;;
7025893 - BIFE DANTE 93X118X44 OFF WHITE;780003377;9; $ 4.652.989 ;9; $ 516.998,78 ;;;
7032120 - BIFE SANTORINI 93X81X38 NATURAL/TEJIDO;780003374;8; $ 3.527.215 ;8; $ 440.901,88 ;;;
7038137 - BUTACA CAPRI LINO ALEXA MENTA/LATTE;770097484;1; $ 609.242 ;1; $ 609.242,00 ;;;
7037189 - BUTACA LARISA LOGAN BEIGE/NATURAL;770096425;1; $ 470.664 ;1; $ 470.664,00 ;;;
7031851 - BUTACA VIVALDI MICROF DOSIER TAUPE/NAT;770094532;2; $ 1.177.934 ;2; $ 588.967,00 ;;;
7031851 - BUTACA VIVALDI MICROF DOSIER TAUPE/NAT;770096384;1; $ 588.967 ;1; $ 588.967,00 ;;;
7027870 - CABECERA DINAMARCA 262X120X45 NATURAL;4939965;1; $ 488.457 ;1; $ 488.457,00 ;;;
7034765 - CAMA 1.20 DENZEL NATURAL;1336474;1; $ 964.706 ;1; $ 964.706,00 ;;;
7035942 - CAMA 1.40  GHALA BEIGE;780003584;10; $ 9.027.715 ;10; $ 902.771,50 ;;;
7035943 - CAMA 1.40  GHALA TAUPE;780003584;7; $ 6.319.260 ;6; $ 902.751,43 ;;;
7035964 - CAMA 1.40  LOFT TAUPE;780003588;23; $ 21.368.354 ;23; $ 929.058,87 ;;;
7035923 - CAMA 1.40 ARLETTE GRIS;780003581;11; $ 8.551.230 ;11; $ 777.384,55 ;;;
7035929 - CAMA 1.40 GALES CRUDO;780003582;22; $ 17.452.151 ;22; $ 793.279,59 ;;;
7035928 - CAMA 1.40 GALES GRIS;780003582;20; $ 15.865.593 ;20; $ 793.279,65 ;;;
7035429 - CAMA 1.40 KENETH NATURAL/OFF WHITE;770096220;6; $ 4.789.914 ;6; $ 798.319,00 ;;;
7035429 - CAMA 1.40 KENETH NATURAL/OFF WHITE;770096557;5; $ 3.991.595 ;5; $ 798.319,00 ;;;
7035429 - CAMA 1.40 KENETH NATURAL/OFF WHITE;770097388;5; $ 3.991.595 ;5; $ 798.319,00 ;;;
7035429 - CAMA 1.40 KENETH NATURAL/OFF WHITE;770097512;1; $ 798.319 ;1; $ 798.319,00 ;;;
7035965 - CAMA 1.60  LOFT TAUPE;780003588;18; $ 17.691.795 ;18; $ 982.877,50 ;;;
7035931 - CAMA 1.60 GALES CRUDO;780003582;16; $ 13.759.064 ;16; $ 859.941,50 ;;;
7035930 - CAMA 1.60 GALES GRIS;780003582;18; $ 15.478.947 ;18; $ 859.941,50 ;;;
7024540 - CAMA 1.60 NOVA GRIS/CHAMPAÑA;1146487;1; $ 2.160.000 ;1; $ 2.160.000,00 ;;;
7035452 - CAMA 1.60 TEXAS BEIGE/NATURAL;1389054;1; $ 1.159.663 ;1; $ 1.159.663,00 ;;;
7034711 - CAMA 1.60 VALLARTA EUROL GRIS/NT;770098598;1; $ 696.259 ;1; $ 696.259,00 ;;;
7035791 - CAMA 2.00 ESTAMBUL BEIGE/NATURAL;770096473;2; $ 3.900.172 ;2; $ 1.950.086,00 ;;;
7035791 - CAMA 2.00 ESTAMBUL BEIGE/NATURAL;770096571;1; $ 1.950.086 ;1; $ 1.950.086,00 ;;;
7005677 - CAMA DOBLE 1.40 MURANO PLATA;770076298;1; $ 805.431 ;1; $ 805.431,00 ;;;
7026350 - CAMA DOBLE 1.40 SERRAT MARFIL/CHAMPAÑA;1038682;1; $ 1.059.577 ;1; $ 1.059.577,00 ;;;
7035438 - CAMA DOBLE 1.60 ALEC GRIS/NATURAL OSCURO;780003523;1; $ 772.734 ;1; $ 772.734,00 ;;;
7035437 - CAMA DOBLE 1.60 AXEL NATURAL OSCURO;780003523;1; $ 765.466 ;1; $ 765.466,00 ;;;
7035940 - CAMA KING 2.00 CAMERON BEIGE;780003587;11; $ 13.525.647 ;11; $ 1.229.604,27 ;;;
7035939 - CAMA KING 2.00 CAMERON CRUDO;780003587;7; $ 8.607.230 ;7; $ 1.229.604,29 ;;;
7035933 - CAMA KING 2.00 GALES CRUDO;780003582;4; $ 4.186.382 ;4; $ 1.046.595,50 ;;;
7035932 - CAMA KING 2.00 GALES GRIS;780003582;4; $ 4.186.382 ;4; $ 1.046.595,50 ;;;
7035959 - CAMA KING 2.00 KENZO BEIGE;780003587;6; $ 7.589.637 ;6; $ 1.264.939,50 ;;;
7035960 - CAMA KING 2.00 KENZO PLOMO;780003587;2; $ 2.560.077 ;2; $ 1.280.038,50 ;;;
7035960 - CAMA KING 2.00 KENZO PLOMO;780003588;4; $ 5.120.154 ;4; $ 1.280.038,50 ;;;
7035926 - CAMA KING ARLETTE GRIS;780003587;8; $ 8.366.964 ;8; $ 1.045.870,50 ;;;
7035927 - CAMA KING ARLETTE GRIS;780003587;5; $ 5.229.357 ;5; $ 1.045.871,40 ;;;
7038387 - CAMA SABINA 1.60 OFF WH/CHAM/BEIG PERL B;770104698;1; $ 1.394.009 ;1; $ 1.394.009,00 ;;;
